Key,Doc Num,Frequency,IDF
nhập_cuộc,4,4,6.620073206530356
nvl,1,2,8.006367567650246
dứt,3,4,6.907755278982137
novagroup,1,1,8.006367567650246
va,2,2,7.313220387090301
novaland,3,5,6.907755278982137
600,9,9,5.809142990314028
đồngcp,1,1,8.006367567650246
khối_lượng,4,4,6.620073206530356
liên_tục,32,33,4.54063166485052
khối,14,18,5.367310238034988
ngoại_tiếp_tục,1,1,8.006367567650246
134,2,2,7.313220387090301
dàn_trải,1,1,8.006367567650246
rộng,27,31,4.710530701645918
vhm,2,2,7.313220387090301
hpg,2,2,7.313220387090301
danh_sách,15,17,5.298317366548036
group,8,10,5.926926025970411
đế_chế,6,7,6.214608098422191
ipo,1,1,8.006367567650246
htl,1,2,8.006367567650246
đkcc,2,4,7.313220387090301
pac,1,1,8.006367567650246
nhắc_nhở,6,7,6.214608098422191
vi_phạm_pháp_luật,1,2,8.006367567650246
thuế_pac,1,1,8.006367567650246
tpc,1,2,8.006367567650246
link,10,19,5.703782474656201
evf,4,8,6.620073206530356
gsp,1,2,8.006367567650246
ocb,1,2,8.006367567650246
công_văn,7,8,6.060457418594933
gd,2,3,7.313220387090301
tân_phước,1,2,8.006367567650246
nab,3,3,6.907755278982137
đắk,3,7,6.907755278982137
glong,1,2,8.006367567650246
nông,3,5,6.907755278982137
scs,2,4,7.313220387090301
biểu_quyết,1,2,8.006367567650246
lưu_hành,1,2,8.006367567650246
nvcsh,1,2,8.006367567650246
vcg,3,5,6.907755278982137
kpf,1,2,8.006367567650246
ssb,1,2,8.006367567650246
hủy,6,10,6.214608098422191
trs,1,1,8.006367567650246
vds,1,2,8.006367567650246
lộ_trình,7,9,6.060457418594933
pve,1,1,8.006367567650246
phs,2,2,7.313220387090301
lpb,2,4,7.313220387090301
nội_bộ,3,6,6.907755278982137
vinh,5,9,6.396929655216146
taw,1,1,8.006367567650246
asp,1,2,8.006367567650246
quy_chế,4,13,6.620073206530356
bks,1,2,8.006367567650246
thg,1,2,8.006367567650246
giải_trình_báo_cáo,2,4,7.313220387090301
